SNo,Date,Price,Open,High,Low,Vol.,Change %
47,2016-04-25,7.54,8.05,8.15,7.32,207060.0,-6.91
48,2016-04-26,7.5,7.56,7.6,7.12,129270.00000000001,-0.53
49,2016-04-27,7.8,7.4,7.99,7.31,90460.0,4.00
50,2016-04-28,7.33,7.73,7.87,7.25,69400.0,-6.03
51,2016-04-29,7.52,7.23,7.72,7.19,51160.0,2.59
52,2016-04-30,8.87,7.45,9.36,7.45,267970.0,17.95
53,2016-05-01,8.75,8.74,9.0,8.35,71990.0,-1.35
54,2016-05-02,10.0,8.83,10.3,8.79,295380.0,14.29
55,2016-05-03,9.34,10.01,10.01,9.18,128320.0,-6.60
56,2016-05-04,9.46,9.38,10.0,9.25,74700.0,1.28
57,2016-05-05,9.79,9.4,10.0,9.3,62440.0,3.49
58,2016-05-06,9.35,9.85,9.98,9.12,92420.0,-4.49
59,2016-05-07,9.35,9.45,9.64,9.2,31390.0,0.00
60,2016-05-08,9.5,9.41,9.64,9.0,80090.0,1.60
61,2016-05-09,9.32,9.51,9.65,9.25,77290.0,-1.89
62,2016-05-10,9.38,9.31,9.47,9.28,18320.0,0.64
63,2016-05-11,9.89,9.38,9.98,9.3,110310.0,5.44
64,2016-05-12,10.04,9.92,10.47,9.79,142190.0,1.52
65,2016-05-13,10.6,10.09,11.11,10.08,194280.0,5.58
66,2016-05-14,10.16,10.6,10.75,9.71,121860.0,-4.15
67,2016-05-15,9.97,10.25,10.42,9.93,42730.0,-1.87
68,2016-05-16,11.09,10.01,11.47,10.0,257209.99999999997,11.23
69,2016-05-17,12.08,11.15,12.6,11.1,540970.0,8.93
70,2016-05-18,13.35,12.28,14.4,12.21,420070.0,10.51
71,2016-05-19,14.58,13.4,14.65,13.2,393140.0,9.21
72,2016-05-20,13.79,14.74,14.89,13.31,338690.0,-5.42
73,2016-05-21,14.0,13.6,14.0,13.01,209030.0,1.52
74,2016-05-22,14.21,14.06,14.51,13.62,118190.0,1.50
75,2016-05-23,13.42,14.21,14.49,13.32,170090.0,-5.56
76,2016-05-24,12.73,13.38,13.82,12.0,437470.0,-5.14
77,2016-05-25,12.49,12.84,12.99,11.8,247580.0,-1.89
78,2016-05-26,12.48,12.52,13.07,12.13,215640.0,-0.08
79,2016-05-27,11.12,12.4,12.43,10.53,645840.0,-10.90
80,2016-05-28,11.98,10.99,12.5,10.38,587070.0,7.73
81,2016-05-29,12.41,11.8,12.89,11.78,455110.0,3.59
82,2016-05-30,12.72,12.44,12.81,12.3,122980.0,2.50
83,2016-05-31,14.01,12.78,14.28,12.6,517980.0,10.14
84,2016-06-01,13.85,14.07,14.3,13.46,289630.0,-1.14
85,2016-06-02,13.8,13.94,14.03,13.61,155530.0,-0.36
86,2016-06-03,13.84,13.82,13.99,13.42,200810.0,0.29
87,2016-06-04,13.81,13.9,13.9,13.4,139120.0,-0.22
88,2016-06-05,13.95,13.75,13.97,13.69,54660.0,1.01
89,2016-06-06,14.03,14.0,14.19,13.8,105550.0,0.57
90,2016-06-07,14.5,13.94,14.7,13.88,199890.0,3.35
91,2016-06-08,14.49,14.6,14.89,14.3,257010.0,-0.07
92,2016-06-09,14.45,14.51,14.7,14.37,64980.00000000001,-0.28
93,2016-06-10,13.97,14.44,14.46,13.56,220150.0,-3.32
94,2016-06-11,14.15,13.95,14.28,13.81,109420.0,1.29
95,2016-06-12,15.8,14.3,16.09,14.25,550470.0,11.66
96,2016-06-13,17.73,15.75,17.91,15.7,896990.0,12.22
97,2016-06-14,18.73,17.65,19.41,16.0,1170000.0,5.64
98,2016-06-15,18.45,18.7,18.75,17.55,365420.0,-1.49
99,2016-06-16,20.7,18.61,21.1,18.44,1020000.0,12.20
100,2016-06-17,15.61,20.86,21.69,11.51,4720000.0,-24.59
101,2016-06-18,11.41,15.19,15.3,10.13,3040000.0,-26.91
102,2016-06-19,12.43,10.76,13.36,10.55,1140000.0,8.94
103,2016-06-20,11.9,12.33,12.49,10.51,1110000.0,-4.26
104,2016-06-21,12.94,11.67,12.98,11.2,644710.0,8.74
105,2016-06-22,13.25,13.75,15.9,12.95,1830000.0,2.40
106,2016-06-23,13.75,13.26,14.0,12.5,521610.0,3.77
107,2016-06-24,14.29,13.76,14.46,13.1,551440.0,3.93
108,2016-06-25,14.31,14.39,14.84,13.91,262840.0,0.14
109,2016-06-26,13.75,14.22,14.4,13.53,213870.0,-3.91
110,2016-06-27,13.96,13.71,14.19,13.68,135030.0,1.53
111,2016-06-28,12.22,13.95,14.07,11.51,896160.0,-12.46
112,2016-06-29,12.77,12.08,13.05,11.57,427250.0,4.50
113,2016-06-30,12.5,12.64,12.88,12.2,213190.0,-2.11
114,2016-07-01,12.35,12.5,12.58,11.74,302720.0,-1.20
115,2016-07-02,12.14,12.17,12.2,11.95,86170.0,-1.70
116,2016-07-03,11.78,12.06,12.11,11.56,196780.0,-2.97
117,2016-07-04,11.42,11.65,11.85,11.35,147790.0,-3.06
118,2016-07-05,10.53,11.42,11.49,9.35,1120000.0,-7.79
119,2016-07-06,10.55,10.37,11.12,10.22,327600.0,0.19
120,2016-07-07,10.14,10.58,10.67,9.73,291460.0,-3.89
121,2016-07-08,11.31,10.16,11.65,9.9,533970.0,11.54
122,2016-07-09,10.9,11.37,11.43,10.4,431160.0,-3.63
123,2016-07-10,10.95,10.83,11.02,10.74,75850.0,0.46
124,2016-07-11,10.51,10.95,11.09,10.2,287840.0,-4.02
125,2016-07-12,10.55,10.48,10.8,10.4,143680.0,0.38
126,2016-07-13,10.47,10.55,10.6,10.43,62850.0,-0.76
127,2016-07-14,11.6,10.7,11.79,10.69,419070.0,10.79
128,2016-07-15,11.93,11.5,12.55,11.37,600620.0,2.84
129,2016-07-16,11.72,11.95,12.05,11.72,127930.0,-1.76
130,2016-07-17,11.24,11.72,11.74,11.02,575470.0,-4.10
131,2016-07-18,11.04,11.31,11.75,11.01,252340.0,-1.78
132,2016-07-19,11.75,11.09,12.24,11.07,678520.0,6.43
133,2016-07-20,12.48,11.7,13.04,11.55,1650000.0,6.21
134,2016-07-21,12.55,12.52,12.75,12.03,534750.0,0.56
135,2016-07-22,14.67,12.67,15.15,12.53,1570000.0,16.89
136,2016-07-23,14.25,14.55,14.85,13.9,638420.0,-2.86
137,2016-07-24,12.65,14.33,14.44,12.17,1650000.0,-11.23
138,2016-07-25,13.8,12.86,13.8,12.75,742810.0,9.09
139,2016-07-26,12.01,13.55,13.86,11.91,1360000.0,-12.97
140,2016-07-27,13.03,12.01,13.28,11.78,377970.0,8.49
141,2016-07-28,12.87,12.93,13.0,12.54,300440.0,-1.23
142,2016-07-29,12.9,12.87,12.94,12.6,183460.0,0.23
143,2016-07-30,12.52,12.85,12.85,12.47,171500.0,-2.95
144,2016-07-31,11.86,12.45,12.55,11.3,419360.0,-5.27
145,2016-08-01,11.08,12.0,12.04,11.08,318870.0,-6.58
146,2016-08-02,10.16,11.04,11.2,9.9,882660.0,-8.30
147,2016-08-03,10.16,10.16,10.16,10.16,0.0,0.00
148,2016-08-04,10.16,10.16,10.16,10.16,0.0,0.00
149,2016-08-05,10.16,10.16,10.16,10.16,0.0,0.00
150,2016-08-06,10.16,10.16,10.16,10.16,0.0,0.00
151,2016-08-07,10.16,10.16,10.16,10.16,0.0,0.00
152,2016-08-08,10.16,10.16,10.16,10.16,0.0,0.00
153,2016-08-09,10.16,10.16,10.16,10.16,0.0,0.00
154,2016-08-10,12.07,11.99,12.33,11.86,383910.0,18.80
155,2016-08-11,11.64,11.9,12.1,11.57,339860.0,-3.56
156,2016-08-12,11.67,11.71,11.99,11.57,254560.0,0.26
157,2016-08-13,11.48,11.69,11.76,11.4,138260.0,-1.63
158,2016-08-14,11.16,11.48,11.67,11.0,188630.0,-2.79
159,2016-08-15,11.09,11.16,11.28,10.88,140550.0,-0.63
160,2016-08-16,11.07,11.15,11.17,10.83,65950.0,-0.18
161,2016-08-17,10.72,11.07,11.07,10.65,456390.0,-3.16
162,2016-08-18,10.69,10.72,10.97,10.66,162110.0,-0.28
163,2016-08-19,10.68,10.69,10.76,10.61,139950.0,-0.09
164,2016-08-20,11.26,10.69,11.3,10.68,190530.0,5.43
165,2016-08-21,11.13,11.26,11.3,10.93,49470.0,-1.15
166,2016-08-22,11.14,11.2,11.36,11.0,81730.0,0.09
167,2016-08-23,10.99,11.14,11.28,10.9,64410.0,-1.35
168,2016-08-24,10.98,11.03,11.2,10.96,37430.0,-0.09
169,2016-08-25,11.39,10.98,11.39,10.97,82800.0,3.73
170,2016-08-26,11.22,11.39,11.42,11.13,30150.0,-1.49
171,2016-08-27,11.2,11.26,11.26,11.13,8960.0,-0.18
172,2016-08-28,10.94,11.11,11.16,10.92,35300.0,-2.32
173,2016-08-29,10.93,10.94,11.18,10.78,63320.0,-0.09
174,2016-08-30,11.29,11.03,11.39,10.94,42080.0,3.29
175,2016-08-31,11.63,11.33,11.63,11.17,39510.0,3.01
176,2016-09-01,12.22,11.66,12.6,11.61,82450.0,5.07
177,2016-09-02,12.13,12.22,12.38,11.91,60240.0,-0.74
178,2016-09-03,12.01,12.13,12.43,11.65,87380.0,-0.99
179,2016-09-04,11.73,11.88,11.96,11.6,51040.0,-2.33
180,2016-09-05,11.85,11.73,11.92,11.65,35550.0,1.02
181,2016-09-06,11.73,11.85,11.92,11.45,83930.0,-1.01
182,2016-09-07,11.64,11.73,11.82,11.6,24160.0,-0.77
183,2016-09-08,11.45,11.64,11.96,11.26,74770.0,-1.63
184,2016-09-09,11.68,11.45,11.9,11.4,201860.0,2.01
185,2016-09-10,12.13,11.72,12.18,11.58,89500.0,3.85
186,2016-09-11,11.68,12.13,12.3,11.6,137760.0,-3.71
187,2016-09-12,12.0,11.8,12.05,11.67,61670.0,2.74
188,2016-09-13,12.01,12.0,12.55,11.86,529700.0,0.08
189,2016-09-14,11.94,12.01,12.33,11.91,137280.0,-0.58
190,2016-09-15,12.01,11.94,12.41,11.91,275080.0,0.59
191,2016-09-16,12.68,12.0,12.82,11.99,194020.0,5.58
192,2016-09-17,12.8,12.6,12.87,12.51,37370.0,0.95
193,2016-09-18,12.32,12.73,13.1,12.26,351070.0,-3.75
194,2016-09-19,12.9,12.49,13.1,12.48,99470.0,4.71
195,2016-09-20,14.45,13.15,15.4,13.08,311670.0,12.02
196,2016-09-21,13.74,14.3,14.35,13.16,205500.0,-4.91
197,2016-09-22,13.17,13.65,13.7,12.47,270590.0,-4.15
198,2016-09-23,13.36,13.3,13.5,13.1,25350.0,1.44
199,2016-09-24,12.86,13.39,13.47,12.71,77540.0,-3.74
200,2016-09-25,13.05,12.86,13.2,12.77,39820.0,1.48
201,2016-09-26,12.9,13.14,13.14,12.81,59600.0,-1.15
202,2016-09-27,13.08,12.9,13.27,12.85,72700.0,1.40
203,2016-09-28,13.25,13.08,13.49,13.04,60210.0,1.30
204,2016-09-29,13.1,13.25,13.33,13.07,53460.0,-1.13
205,2016-09-30,13.3,13.1,13.43,13.05,45490.0,1.53
206,2016-10-01,13.18,13.25,13.31,13.05,46900.0,-0.90
207,2016-10-02,13.16,13.18,13.33,13.0,51870.0,-0.15
208,2016-10-03,13.44,13.22,13.5,13.17,25570.0,2.13
209,2016-10-04,13.33,13.44,13.5,13.22,67870.0,-0.82
210,2016-10-05,13.11,13.33,13.39,13.08,62140.0,-1.65
211,2016-10-06,12.84,13.11,13.15,12.62,63150.0,-2.06
212,2016-10-07,12.69,12.84,13.0,12.56,75190.0,-1.17
213,2016-10-08,12.26,12.73,12.76,12.0,131490.0,-3.39
214,2016-10-09,12.01,12.26,12.56,11.99,166940.0,-2.04
215,2016-10-10,11.73,12.03,12.09,11.6,298650.0,-2.33
216,2016-10-11,11.78,11.76,12.33,11.76,123360.0,0.43
217,2016-10-12,11.72,11.84,12.06,11.68,132180.0,-0.51
218,2016-10-13,12.07,11.72,12.12,11.72,61290.0,2.99
219,2016-10-14,11.93,12.07,12.1,11.9,23540.0,-1.16
220,2016-10-15,12.01,11.96,12.05,11.83,40420.0,0.67
221,2016-10-16,11.98,12.01,12.06,11.92,20470.0,-0.25
222,2016-10-17,12.0,11.98,12.03,11.81,90210.0,0.17
223,2016-10-18,12.54,12.0,12.91,11.98,238070.0,4.50
224,2016-10-19,11.99,12.54,12.62,11.95,130470.0,-4.39
225,2016-10-20,12.09,11.99,12.32,11.99,86200.0,0.83
226,2016-10-21,12.16,12.1,12.2,12.09,17730.0,0.58
227,2016-10-22,12.29,12.16,12.37,12.08,20750.0,1.07
228,2016-10-23,12.07,12.25,12.26,11.99,32340.000000000004,-1.79
229,2016-10-24,11.99,12.07,12.23,11.98,48140.0,-0.66
230,2016-10-25,11.36,11.99,12.0,11.12,112860.0,-5.25
231,2016-10-26,11.5,11.36,11.72,11.36,67670.0,1.23
232,2016-10-27,11.57,11.5,11.66,11.23,110490.0,0.61
233,2016-10-28,11.15,11.57,11.7,10.85,191960.0,-3.63
234,2016-10-29,10.38,11.15,11.26,9.5,288190.0,-6.91
235,2016-10-30,11.28,10.38,11.53,10.31,88770.0,8.67
236,2016-10-31,10.96,11.28,11.5,10.88,134670.0,-2.84
237,2016-11-01,10.81,10.96,11.21,10.41,129669.99999999999,-1.37
238,2016-11-02,10.86,10.81,11.25,10.76,91370.0,0.46
239,2016-11-03,10.86,10.94,11.18,10.81,106820.0,0.00
240,2016-11-04,11.21,10.86,11.24,10.85,49910.0,3.22
241,2016-11-05,11.17,11.23,11.24,10.99,18150.0,-0.36
242,2016-11-06,10.91,11.15,11.27,10.91,10860.0,-2.33
243,2016-11-07,10.88,10.91,11.1,10.85,83630.0,-0.27
244,2016-11-08,10.92,10.88,11.21,10.79,63480.0,0.37
245,2016-11-09,10.72,10.92,10.92,10.2,80200.0,-1.83
246,2016-11-10,10.54,10.66,10.69,10.52,7610.0,-1.68
247,2016-11-11,10.27,10.54,10.58,10.26,17380.0,-2.56
248,2016-11-12,10.01,10.27,10.32,9.7,64349.99999999999,-2.53
249,2016-11-13,10.08,10.01,10.37,9.68,31680.0,0.70
250,2016-11-14,10.0,10.08,10.19,9.96,17170.0,-0.79
251,2016-11-15,10.27,10.0,10.41,9.72,52590.0,2.70
252,2016-11-16,10.02,10.19,10.5,9.93,116690.0,-2.43
253,2016-11-17,9.99,10.02,10.27,9.9,103190.0,-0.30
254,2016-11-18,9.52,9.96,10.03,9.46,57230.0,-4.70
255,2016-11-19,9.73,9.54,9.86,9.48,62930.0,2.21
256,2016-11-20,9.57,9.68,9.76,9.49,29010.0,-1.64
257,2016-11-21,9.61,9.54,9.68,9.51,8650.0,0.42
258,2016-11-22,9.84,9.61,10.26,9.54,102990.0,2.39
259,2016-11-23,9.69,9.89,9.92,9.68,27920.0,-1.52
260,2016-11-24,9.2,9.69,9.85,8.7,118310.0,-5.06
261,2016-11-25,9.38,9.17,9.69,9.17,60920.0,1.96
262,2016-11-26,9.33,9.38,9.53,9.22,14110.0,-0.53
263,2016-11-27,8.88,9.33,9.33,8.7,62340.0,-4.82
264,2016-11-28,8.7,8.97,9.02,8.65,41960.0,-2.03
265,2016-11-29,8.16,8.7,8.74,7.74,188400.0,-6.21
266,2016-11-30,8.62,8.16,8.76,8.11,124270.0,5.64
267,2016-12-01,8.46,8.61,8.61,8.36,95250.0,-1.86
268,2016-12-02,7.7,8.43,8.43,7.1,490140.0,-8.98
269,2016-12-03,7.91,7.76,8.1,7.64,195760.0,2.73
270,2016-12-04,7.55,7.85,7.91,7.42,34390.0,-4.55
271,2016-12-05,6.7,7.4,7.57,6.5,256000.0,-11.26
272,2016-12-06,7.71,6.68,7.88,5.86,607540.0,15.07
273,2016-12-07,8.33,7.6,8.7,7.27,161040.0,8.04
274,2016-12-08,8.3,8.35,8.84,8.24,170040.0,-0.36
275,2016-12-09,8.52,8.1,8.65,8.02,54710.0,2.65
276,2016-12-10,8.12,8.42,8.55,7.94,35850.0,-4.69
277,2016-12-11,8.19,8.14,8.25,8.0,22610.0,0.86
278,2016-12-12,8.45,8.19,8.63,8.09,81630.0,3.17
279,2016-12-13,8.36,8.49,8.49,8.3,21600.0,-1.07
280,2016-12-14,8.21,8.44,8.49,8.2,14710.0,-1.79
281,2016-12-15,7.83,8.16,8.23,7.71,145040.0,-4.63
282,2016-12-16,7.86,7.86,7.96,7.77,56480.0,0.38
283,2016-12-17,7.73,7.86,7.9,7.47,147340.0,-1.65
284,2016-12-18,7.93,7.88,7.94,7.74,21500.0,2.59
285,2016-12-19,7.58,7.93,7.93,7.58,26010.0,-4.41
286,2016-12-20,7.61,7.63,7.75,7.55,55330.0,0.40
287,2016-12-21,7.89,7.68,7.96,7.64,52440.0,3.68
288,2016-12-22,7.61,7.84,7.84,7.46,118350.0,-3.55
289,2016-12-23,7.16,7.55,7.68,7.11,139040.0,-5.91
290,2016-12-24,7.25,7.11,7.35,7.11,56770.0,1.26
291,2016-12-25,7.23,7.25,7.32,7.17,16440.0,-0.28
292,2016-12-26,7.27,7.11,7.35,7.05,78870.0,0.55
293,2016-12-27,7.12,7.27,7.33,7.08,40800.0,-2.06
294,2016-12-28,7.58,7.2,7.76,7.1,177260.0,6.46
295,2016-12-29,8.27,7.62,8.6,7.62,291600.0,9.10
296,2016-12-30,8.16,8.27,8.5,8.05,56740.0,-1.33
297,2016-12-31,8.0,8.17,8.35,8.0,200240.0,-1.96
298,2017-01-01,8.2,8.17,8.59,8.03,144920.0,2.50
299,2017-01-02,8.37,8.19,8.5,8.11,101270.0,2.07
300,2017-01-03,9.74,8.43,9.9,8.3,603420.0,16.37
301,2017-01-04,11.0,9.57,11.1,9.44,556250.0,12.94
302,2017-01-05,10.15,11.16,11.7,9.2,490640.0,-7.73
303,2017-01-06,10.08,10.23,10.4,9.47,144690.0,-0.69
304,2017-01-07,9.84,10.09,10.19,9.48,107330.0,-2.38
305,2017-01-08,10.28,9.8,10.48,9.8,116550.0,4.47
306,2017-01-09,10.26,10.43,10.84,9.5,165980.0,-0.19
307,2017-01-10,10.61,10.43,10.75,10.2,96970.0,3.41
308,2017-01-11,9.79,10.61,10.7,9.41,159090.0,-7.73
309,2017-01-12,9.83,9.48,10.04,9.08,120950.0,0.41
310,2017-01-13,9.67,9.83,9.83,9.39,39760.0,-1.63
311,2017-01-14,9.67,9.72,9.87,9.51,17440.0,0.00
312,2017-01-15,9.81,9.67,9.83,9.6,16890.0,1.45
313,2017-01-16,9.61,9.72,9.78,9.55,16030.000000000002,-2.04
314,2017-01-17,10.12,9.54,10.6,9.53,237840.0,5.31
315,2017-01-18,10.19,10.3,10.49,9.74,99390.0,0.69
316,2017-01-19,10.38,10.31,10.51,10.15,50640.0,1.86
317,2017-01-20,10.62,10.38,10.75,10.3,63550.0,2.31
318,2017-01-21,10.95,10.64,11.09,10.56,125310.0,3.11
319,2017-01-22,10.64,10.91,10.98,10.34,140660.0,-2.83
320,2017-01-23,10.77,10.64,10.83,10.59,54390.0,1.22
321,2017-01-24,10.5,10.58,10.75,10.46,105210.0,-2.51
322,2017-01-25,10.48,10.52,10.58,10.35,26190.0,-0.19
323,2017-01-26,10.63,10.49,10.63,10.43,84720.0,1.43
324,2017-01-27,10.5,10.52,10.58,10.36,61250.0,-1.22
325,2017-01-28,10.51,10.5,10.54,10.35,102560.0,0.10
326,2017-01-29,10.46,10.49,10.51,10.38,38280.0,-0.48
327,2017-01-30,10.53,10.44,10.69,10.38,107000.0,0.67
328,2017-01-31,10.71,10.5,10.74,10.38,250340.0,1.71
329,2017-02-01,10.71,10.71,10.77,10.41,113790.0,0.00
330,2017-02-02,10.8,10.71,10.84,10.53,149420.0,0.84
331,2017-02-03,10.93,10.78,10.93,10.55,102560.0,1.20
332,2017-02-04,11.32,11.0,11.4,11.0,158070.0,3.57
333,2017-02-05,11.18,11.32,11.37,11.05,48070.0,-1.24
334,2017-02-06,11.32,11.18,11.33,11.12,69660.0,1.25
335,2017-02-07,11.41,11.31,11.5,11.25,116310.0,0.80
336,2017-02-08,11.35,11.45,11.6,11.0,78890.0,-0.53
337,2017-02-09,10.9,11.35,11.51,10.41,205680.0,-3.96
338,2017-02-10,11.3,10.95,11.39,10.75,141080.0,3.67
339,2017-02-11,11.33,11.27,11.38,11.13,73260.0,0.27
340,2017-02-12,11.26,11.33,11.4,11.22,35220.0,-0.62
341,2017-02-13,11.35,11.33,11.37,11.05,59340.0,0.80
342,2017-02-14,12.96,11.32,13.4,11.32,613950.0,14.19
343,2017-02-15,12.92,13.02,13.15,12.59,302770.0,-0.31
344,2017-02-16,12.92,12.92,12.99,12.57,116460.0,0.00
345,2017-02-17,12.76,12.92,12.92,12.6,86680.0,-1.24
346,2017-02-18,12.79,12.76,12.9,12.7,67300.0,0.24
347,2017-02-19,12.8,12.79,12.94,12.7,54510.0,0.08
348,2017-02-20,12.4,12.8,12.91,12.4,91260.0,-3.13
349,2017-02-21,12.82,12.4,12.89,12.25,174100.0,3.39
350,2017-02-22,12.68,12.82,12.85,12.6,47570.0,-1.09
351,2017-02-23,13.27,12.68,13.37,12.6,168680.0,4.65
352,2017-02-24,13.11,13.27,13.31,12.7,145360.0,-1.21
353,2017-02-25,13.55,13.11,13.8,13.05,223070.0,3.36
354,2017-02-26,14.57,13.55,14.66,13.3,284670.0,7.53
355,2017-02-27,15.5,14.57,15.75,14.3,469290.0,6.38
356,2017-02-28,15.86,15.5,16.23,15.18,616600.0,2.32
357,2017-03-01,17.43,15.86,17.49,15.62,343430.0,9.90
358,2017-03-02,19.02,17.43,19.45,16.3,903090.0,9.12
359,2017-03-03,19.49,19.02,20.73,18.43,981000.0,2.47
360,2017-03-04,18.5,19.49,20.0,18.4,331950.0,-5.08
361,2017-03-05,19.35,18.5,19.45,18.15,226390.0,4.59
362,2017-03-06,19.51,19.35,20.23,19.14,316910.0,0.83
363,2017-03-07,18.88,19.51,19.67,18.5,228660.0,-3.23
364,2017-03-08,16.51,18.88,18.88,16.51,562050.0,-12.55
365,2017-03-09,17.75,16.51,18.0,16.25,281600.0,7.51
366,2017-03-10,19.18,17.75,19.7,16.5,824860.0,8.06
367,2017-03-11,21.3,19.18,21.45,18.83,661770.0,11.05
368,2017-03-12,23.2,21.3,23.23,21.05,786850.0,8.92
369,2017-03-13,28.4,23.2,30.6,23.2,1780000.0,22.41
370,2017-03-14,28.66,28.4,29.93,27.0,701890.0,0.92
371,2017-03-15,34.8,28.66,34.8,28.36,1360000.0,21.42
372,2017-03-16,45.07,34.8,46.21,34.8,3060000.0,29.51
373,2017-03-17,44.65,45.07,51.88,32.84,3390000.0,-0.93
374,2017-03-18,34.2,44.65,44.99,31.1,2120000.0,-23.40
375,2017-03-19,43.17,34.2,45.69,34.1,1690000.0,26.23
376,2017-03-20,42.06,43.17,45.13,39.47,875000.0,-2.57
377,2017-03-21,42.45,42.06,43.7,41.15,462960.0,0.93
378,2017-03-22,41.46,42.45,42.95,38.51,488530.0,-2.33
379,2017-03-23,43.14,41.46,44.75,40.22,523650.0,4.05
380,2017-03-24,54.01,43.14,58.99,42.5,1640000.0,25.20
381,2017-03-25,50.75,54.01,54.9,47.46,1150000.0,-6.04
382,2017-03-26,50.46,50.75,51.8,46.55,461990.0,-0.57
383,2017-03-27,48.93,50.46,52.01,47.67,389870.0,-3.03
384,2017-03-28,50.16,48.93,50.6,47.95,453920.0,2.51
385,2017-03-29,52.88,50.16,54.3,49.4,685320.0,5.42
386,2017-03-30,51.62,52.88,53.28,50.75,373980.0,-2.38
387,2017-03-31,49.72,51.62,51.83,46.82,784700.0,-3.68
388,2017-04-01,50.59,49.72,51.87,48.7,386430.0,1.75
389,2017-04-02,48.6,50.59,51.59,47.7,784600.0,-3.93
390,2017-04-03,44.28,48.6,48.6,42.77,1170000.0,-8.89
391,2017-04-04,44.41,44.28,45.69,41.05,762880.0,0.29
392,2017-04-05,45.35,44.41,47.53,44.19,564400.0,2.12
393,2017-04-06,43.11,45.35,46.03,41.25,649410.0,-4.94
394,2017-04-07,42.25,43.11,44.53,41.78,277520.0,-1.99
395,2017-04-08,44.51,42.25,45.76,42.25,363840.0,5.35
396,2017-04-09,43.94,44.51,44.86,43.18,177310.0,-1.28
397,2017-04-10,44.17,43.94,44.76,43.01,218120.0,0.52
398,2017-04-11,44.21,44.17,44.8,43.8,113370.0,0.09
399,2017-04-12,46.85,44.21,48.47,43.84,537210.0,5.97
400,2017-04-13,50.65,46.85,51.51,46.85,520860.0,8.11
401,2017-04-14,48.5,50.65,50.65,47.34,394470.0,-4.24
402,2017-04-15,49.71,48.5,50.48,47.95,332290.0,2.49
403,2017-04-16,49.58,49.71,49.9,48.87,64040.00000000001,-0.26
